Ejecucion,Tama¤o,Insercion,Burbuja,BurbujaOpt,Seleccion,MergeSort,QuickSort,HeapSort,ShellSort
6,160,0,0,0,0,0,0,0,0
7,160,0,0,0,0,0,0,0,0
8,160,0,0,4949,0,0,0,0,0
9,160,0,0,0,0,0,0,0,0
10,160,0,0,0,0,0,0,0,0
1,170,0,2926,0,0,0,0,0,0
2,170,0,0,0,2145,0,0,0,0
3,170,0,0,0,0,0,0,1910,0
4,170,0,0,0,0,0,0,0,0
5,170,0,0,2013,0,0,0,0,0
6,170,0,0,0,0,0,0,0,0
7,170,0,0,0,0,0,0,0,0
8,170,0,0,0,2013,0,0,0,0
9,170,0,0,0,0,2015,0,0,0
10,170,0,0,0,0,0,0,0,0
1,180,0,2871,0,0,0,0,0,0
2,180,0,0,0,2007,0,0,0,0
3,180,0,0,2011,0,0,0,0,0
4,180,0,0,0,0,0,0,0,0
5,180,0,0,3090,0,0,0,0,0
6,180,0,0,0,0,0,0,0,0
7,180,0,0,0,0,0,0,0,0
8,180,0,0,0,0,0,0,0,0
9,180,0,0,0,0,0,5938,0,0
10,180,0,0,0,0,0,0,0,0
1,190,0,2988,0,0,0,0,0,0
2,190,0,0,1778,0,0,0,0,0
3,190,0,0,0,0,0,0,0,0
4,190,0,0,0,0,4431,0,0,0
5,190,0,0,0,0,0,0,0,0
6,190,0,0,0,2836,0,0,0,0
7,190,0,0,0,0,0,0,0,0
8,190,0,0,0,0,0,0,0,0
9,190,0,0,0,0,0,0,0,0
10,190,0,0,0,0,0,0,0,0
1,200,0,0,0,0,0,0,0,0
2,200,0,3596,0,0,0,0,0,0
3,200,0,2015,0,0,0,0,0,0
4,200,0,0,0,0,0,0,0,0
5,200,0,0,0,0,0,0,0,0
6,200,0,0,0,0,0,0,0,0
7,200,0,0,0,0,0,0,0,0
8,200,0,0,0,0,0,0,0,0
9,200,0,0,10301,0,0,0,0,0
10,200,0,0,0,0,0,0,0,0
1,210,0,0,1181,0,0,0,1323,0
2,210,0,0,0,0,0,0,0,0
3,210,0,2436,0,0,0,0,0,0
4,210,0,0,0,0,0,0,0,0
5,210,0,0,0,0,0,0,0,0
6,210,0,5964,0,0,0,0,0,0
7,210,0,0,1010,0,507,0,0,0
8,210,505,0,504,504,0,0,0,0
9,210,0,508,508,0,0,0,0,0
10,210,0,0,2011,0,0,0,0,0
1,220,0,2505,0,0,0,1046,0,0
2,220,0,0,0,0,0,0,0,0
3,220,0,0,0,0,0,0,0,0
4,220,0,0,0,5998,0,0,0,0
5,220,0,0,0,0,0,0,0,0
6,220,0,0,0,0,0,0,0,0
7,220,0,0,0,0,0,0,0,0
8,220,0,0,7611,0,0,0,0,0
9,220,0,0,0,0,0,0,0,0
10,220,0,0,0,0,0,0,0,0
1,230,0,5711,0,0,0,0,0,1885
2,230,0,511,0,0,0,0,0,0
3,230,0,2007,0,0,0,0,0,0
4,230,2005,0,0,0,0,0,0,0
5,230,0,0,0,2022,0,0,0,0
6,230,0,0,0,2013,0,0,0,0
7,230,0,0,0,2006,0,0,0,0
8,230,0,0,2009,0,0,0,0,0
9,230,0,1506,0,0,0,0,0,0
10,230,0,2008,0,0,0,0,0,0
1,240,3253,0,0,0,0,2410,0,0
2,240,0,0,0,0,0,0,0,0
3,240,0,0,0,0,0,0,0,0
4,240,0,0,0,0,0,0,0,0
5,240,0,7147,1188,0,0,0,0,0
6,240,0,1712,0,0,0,0,0,0
7,240,0,0,0,0,0,0,0,0
8,240,0,0,4538,0,0,0,0,0
9,240,0,0,0,0,0,0,0,0
10,240,0,0,0,0,0,0,0,0
1,250,0,7667,0,0,0,0,0,0
2,250,1819,1015,0,0,0,0,0,0
3,250,0,2010,0,0,0,0,0,0
4,250,2014,0,0,0,0,0,0,0
5,250,0,0,0,0,0,0,0,0
6,250,0,0,0,0,0,0,0,0
7,250,0,0,0,0,0,0,0,0
8,250,0,0,0,0,0,0,0,0
9,250,11054,0,1488,0,0,0,0,0
10,250,0,2077,0,0,0,0,0,0
1,260,0,0,0,0,0,0,0,0
2,260,0,0,6988,0,0,0,0,0
3,260,0,0,0,0,0,0,0,0
4,260,0,3046,0,1034,0,0,0,0
5,260,0,0,2945,0,0,0,0,0
6,260,0,0,0,0,0,0,0,0
7,260,0,0,0,0,0,0,0,0
8,260,0,0,0,0,0,0,0,0
9,260,0,0,0,0,0,0,0,0
10,260,0,0,0,13151,0,0,0,0
1,270,0,2557,0,0,0,0,2011,0
2,270,0,0,0,2008,0,0,0,0
3,270,0,0,2006,0,0,0,0,0
4,270,0,2008,0,0,2009,0,0,0
5,270,0,0,0,2005,0,0,0,0
6,270,0,1506,0,0,0,0,2006,0
7,270,0,0,2014,0,0,0,0,0
8,270,0,2008,0,0,0,0,0,0
9,270,0,0,0,0,0,0,0,0
10,270,0,0,0,0,7153,0,0,0
1,280,0,1547,0,1278,0,0,0,999
2,280,0,1003,0,1016,0,0,0,0
3,280,1004,0,0,986,0,0,0,0
4,280,0,991,1008,0,1013,0,0,0
5,280,0,1001,0,1166,0,0,0,0
6,280,1007,0,1015,0,1220,0,0,0
7,280,0,1032,1013,0,0,0,1000,0
8,280,0,1028,1021,0,979,0,0,0
9,280,0,1002,1033,0,0,0,0,0
10,280,1372,0,1022,0,1000,0,0,0
1,290,0,1021,1474,0,0,0,0,0
2,290,0,998,998,0,0,999,0,0
3,290,0,1005,1000,0,0,0,0,0
4,290,0,1000,0,999,0,0,0,0
5,290,999,999,0,1000,0,0,0,0
6,290,0,0,999,1003,0,0,0,0
7,290,0,993,0,999,0,0,0,0
8,290,0,1505,1007,0,0,0,999,0
9,290,0,1001,1005,0,0,0,995,0
10,290,0,997,0,999,0,0,0,1000
1,300,0,1020,1353,0,0,0,1169,0
2,300,0,1207,0,1056,0,0,0,1000
3,300,0,1000,0,1001,0,0,0,985
4,300,0,1228,0,1003,0,0,0,0
